,D009_GlobPlot,D009_GlobPlot,D009_GlobPlot,D009_GlobPlot,D025_RawMSA,D025_RawMSA,D025_RawMSA,D025_RawMSA,D033_DynaMine,D033_DynaMine,D033_DynaMine,D033_DynaMine
,tn,fp,fn,tp,tn,fp,fn,tp,tn,fp,fn,tp
0.687,,,,,250065.0,31926.0,32836.0,21768.0,281891.0,28.0,54560.0,0.0
0.686,,,,,249801.0,32190.0,32725.0,21879.0,281890.0,29.0,54560.0,0.0
0.685,,,,,249518.0,32473.0,32624.0,21980.0,281889.0,30.0,54560.0,0.0
0.684,,,,,249283.0,32708.0,32515.0,22089.0,281887.0,32.0,54560.0,0.0
0.683,,,,,249039.0,32952.0,32417.0,22187.0,281885.0,34.0,54560.0,0.0
0.682,,,,,248777.0,33214.0,32321.0,22283.0,281883.0,36.0,54560.0,0.0
0.681,,,,,248501.0,33490.0,32201.0,22403.0,281881.0,38.0,54560.0,0.0
0.68,,,,,248221.0,33770.0,32096.0,22508.0,281878.0,41.0,54560.0,0.0
0.679,,,,,247959.0,34032.0,31988.0,22616.0,281876.0,43.0,54560.0,0.0
0.678,,,,,247674.0,34317.0,31879.0,22725.0,281873.0,46.0,54560.0,0.0
0.677,,,,,247405.0,34586.0,31765.0,22839.0,281872.0,47.0,54559.0,1.0
0.676,,,,,247125.0,34866.0,31673.0,22931.0,281871.0,48.0,54559.0,1.0
0.675,,,,,246885.0,35106.0,31568.0,23036.0,281870.0,49.0,54559.0,1.0
0.674,,,,,246615.0,35376.0,31456.0,23148.0,281866.0,53.0,54559.0,1.0
0.673,,,,,246329.0,35662.0,31348.0,23256.0,281859.0,60.0,54559.0,1.0
0.672,,,,,246074.0,35917.0,31252.0,23352.0,281858.0,61.0,54559.0,1.0
0.671,,,,,245834.0,36157.0,31134.0,23470.0,281856.0,63.0,54559.0,1.0
0.67,,,,,245587.0,36404.0,31026.0,23578.0,281854.0,65.0,54557.0,3.0
0.669,,,,,245308.0,36683.0,30923.0,23681.0,281853.0,66.0,54557.0,3.0
0.668,,,,,245062.0,36929.0,30840.0,23764.0,,,,
0.667,,,,,244792.0,37199.0,30738.0,23866.0,281850.0,69.0,54557.0,3.0
0.666,,,,,244515.0,37476.0,30660.0,23944.0,281849.0,70.0,54556.0,4.0
0.665,,,,,244228.0,37763.0,30578.0,24026.0,281847.0,72.0,54556.0,4.0
0.664,,,,,243948.0,38043.0,30482.0,24122.0,281845.0,74.0,54555.0,5.0
0.663,,,,,243663.0,38328.0,30391.0,24213.0,281844.0,75.0,54554.0,6.0
0.662,,,,,243372.0,38619.0,30297.0,24307.0,281842.0,77.0,54554.0,6.0
0.661,,,,,243091.0,38900.0,30210.0,24394.0,281840.0,79.0,54554.0,6.0
0.66,,,,,242817.0,39174.0,30128.0,24476.0,281837.0,82.0,54554.0,6.0
0.659,,,,,242556.0,39435.0,30035.0,24569.0,,,,
0.658,,,,,242298.0,39693.0,29960.0,24644.0,,,,
0.657,,,,,242031.0,39960.0,29859.0,24745.0,281833.0,86.0,54554.0,6.0
0.656,,,,,241767.0,40224.0,29767.0,24837.0,281828.0,91.0,54554.0,6.0
0.655,,,,,241451.0,40540.0,29682.0,24922.0,281827.0,92.0,54553.0,7.0
0.654,,,,,241183.0,40808.0,29597.0,25007.0,281823.0,96.0,54553.0,7.0
0.653,,,,,240935.0,41056.0,29511.0,25093.0,281816.0,103.0,54553.0,7.0
0.652,,,,,240678.0,41313.0,29427.0,25177.0,281813.0,106.0,54553.0,7.0
0.651,,,,,240435.0,41556.0,29351.0,25253.0,,,,
0.65,,,,,240185.0,41806.0,29280.0,25324.0,281808.0,111.0,54553.0,7.0
0.649,,,,,239966.0,42025.0,29178.0,25426.0,281806.0,113.0,54552.0,8.0
0.648,,,,,239711.0,42280.0,29095.0,25509.0,281802.0,117.0,54552.0,8.0
0.647,,,,,239448.0,42543.0,29012.0,25592.0,281800.0,119.0,54550.0,10.0
0.646,,,,,239200.0,42791.0,28920.0,25684.0,281796.0,123.0,54550.0,10.0
0.645,,,,,238951.0,43040.0,28811.0,25793.0,281789.0,130.0,54549.0,11.0
0.644,,,,,238714.0,43277.0,28721.0,25883.0,281785.0,134.0,54549.0,11.0
0.643,,,,,238480.0,43511.0,28629.0,25975.0,281779.0,140.0,54548.0,12.0
0.642,,,,,238238.0,43753.0,28546.0,26058.0,281777.0,142.0,54547.0,13.0
0.641,,,,,238004.0,43987.0,28453.0,26151.0,281770.0,149.0,54545.0,15.0
0.64,,,,,237726.0,44265.0,28377.0,26227.0,281765.0,154.0,54545.0,15.0
0.639,,,,,237489.0,44502.0,28283.0,26321.0,281759.0,160.0,54545.0,15.0
0.638,,,,,237258.0,44733.0,28199.0,26405.0,281758.0,161.0,54545.0,15.0
0.637,,,,,237039.0,44952.0,28098.0,26506.0,281753.0,166.0,54543.0,17.0
0.636,,,,,236803.0,45188.0,28004.0,26600.0,281753.0,166.0,54542.0,18.0
0.635,,,,,236551.0,45440.0,27912.0,26692.0,281751.0,168.0,54542.0,18.0
0.634,,,,,236297.0,45694.0,27822.0,26782.0,281743.0,176.0,54540.0,20.0
0.633,,,,,236053.0,45938.0,27728.0,26876.0,281739.0,180.0,54540.0,20.0
0.632,,,,,235810.0,46181.0,27663.0,26941.0,281734.0,185.0,54540.0,20.0
0.631,,,,,235579.0,46412.0,27573.0,27031.0,281731.0,188.0,54539.0,21.0
0.63,,,,,235338.0,46653.0,27474.0,27130.0,281727.0,192.0,54539.0,21.0
0.629,,,,,235095.0,46896.0,27374.0,27230.0,281723.0,196.0,54539.0,21.0
0.628,,,,,234852.0,47139.0,27288.0,27316.0,281722.0,197.0,54539.0,21.0
0.627,,,,,234619.0,47372.0,27195.0,27409.0,281717.0,202.0,54539.0,21.0
0.626,,,,,234384.0,47607.0,27107.0,27497.0,281715.0,204.0,54538.0,22.0
0.625,,,,,234159.0,47832.0,27037.0,27567.0,281710.0,209.0,54538.0,22.0
0.624,,,,,233963.0,48028.0,26958.0,27646.0,281709.0,210.0,54538.0,22.0
0.623,,,,,233714.0,48277.0,26861.0,27743.0,281705.0,214.0,54538.0,22.0
0.622,,,,,233499.0,48492.0,26782.0,27822.0,281700.0,219.0,54537.0,23.0
0.621,,,,,233263.0,48728.0,26711.0,27893.0,281689.0,230.0,54536.0,24.0
0.62,,,,,233003.0,48988.0,26636.0,27968.0,281685.0,234.0,54536.0,24.0
0.619,,,,,232788.0,49203.0,26569.0,28035.0,281681.0,238.0,54536.0,24.0
0.618,,,,,232549.0,49442.0,26490.0,28114.0,281671.0,248.0,54536.0,24.0
0.617,,,,,232302.0,49689.0,26412.0,28192.0,281656.0,263.0,54536.0,24.0
0.616,,,,,232068.0,49923.0,26310.0,28294.0,281651.0,268.0,54535.0,25.0
0.615,,,,,231808.0,50183.0,26227.0,28377.0,281642.0,277.0,54533.0,27.0
0.614,,,,,231567.0,50424.0,26146.0,28458.0,281634.0,285.0,54532.0,28.0
0.613,,,,,231367.0,50624.0,26053.0,28551.0,281627.0,292.0,54531.0,29.0
0.612,,,,,231125.0,50866.0,25967.0,28637.0,281620.0,299.0,54531.0,29.0
0.611,,,,,230887.0,51104.0,25872.0,28732.0,281612.0,307.0,54529.0,31.0
0.61,,,,,230658.0,51333.0,25782.0,28822.0,281603.0,316.0,54527.0,33.0
0.609,,,,,230435.0,51556.0,25693.0,28911.0,281594.0,325.0,54527.0,33.0
0.608,,,,,230203.0,51788.0,25623.0,28981.0,281589.0,330.0,54525.0,35.0
0.607,,,,,229971.0,52020.0,25551.0,29053.0,281576.0,343.0,54525.0,35.0
0.606,,,,,229727.0,52264.0,25432.0,29172.0,281568.0,351.0,54525.0,35.0
0.605,,,,,229504.0,52487.0,25353.0,29251.0,281561.0,358.0,54525.0,35.0
0.604,,,,,229309.0,52682.0,25239.0,29365.0,281555.0,364.0,54524.0,36.0
0.603,,,,,229077.0,52914.0,25147.0,29457.0,281537.0,382.0,54521.0,39.0
0.602,,,,,228858.0,53133.0,25048.0,29556.0,281530.0,389.0,54521.0,39.0
0.601,,,,,228648.0,53343.0,24972.0,29632.0,281508.0,411.0,54520.0,40.0
0.6,,,,,228426.0,53565.0,24874.0,29730.0,281502.0,417.0,54518.0,42.0
0.599,,,,,228221.0,53770.0,24791.0,29813.0,281491.0,428.0,54516.0,44.0
0.598,,,,,227997.0,53994.0,24700.0,29904.0,281484.0,435.0,54514.0,46.0
0.597,,,,,227801.0,54190.0,24611.0,29993.0,281469.0,450.0,54512.0,48.0
0.596,,,,,227580.0,54411.0,24534.0,30070.0,281460.0,459.0,54510.0,50.0
0.595,,,,,227359.0,54632.0,24449.0,30155.0,281445.0,474.0,54509.0,51.0
0.594,,,,,227165.0,54826.0,24359.0,30245.0,281432.0,487.0,54509.0,51.0
0.593,,,,,226980.0,55011.0,24263.0,30341.0,281418.0,501.0,54506.0,54.0
0.592,,,,,226802.0,55189.0,24193.0,30411.0,281400.0,519.0,54505.0,55.0
0.591,,,,,226609.0,55382.0,24125.0,30479.0,281388.0,531.0,54501.0,59.0
0.59,,,,,226401.0,55590.0,24037.0,30567.0,281377.0,542.0,54498.0,62.0
0.589,,,,,226187.0,55804.0,23957.0,30647.0,281360.0,559.0,54495.0,65.0
0.588,,,,,225965.0,56026.0,23884.0,30720.0,281348.0,571.0,54494.0,66.0
0.587,,,,,225768.0,56223.0,23807.0,30797.0,281331.0,588.0,54493.0,67.0
0.586,,,,,225557.0,56434.0,23747.0,30857.0,281315.0,604.0,54491.0,69.0
0.585,,,,,225327.0,56664.0,23677.0,30927.0,281299.0,620.0,54489.0,71.0
0.584,,,,,225115.0,56876.0,23607.0,30997.0,281285.0,634.0,54486.0,74.0
0.583,,,,,224918.0,57073.0,23541.0,31063.0,281274.0,645.0,54486.0,74.0
0.582,,,,,224711.0,57280.0,23450.0,31154.0,281263.0,656.0,54482.0,78.0
0.581,,,,,224504.0,57487.0,23374.0,31230.0,281245.0,674.0,54478.0,82.0
0.58,,,,,224287.0,57704.0,23301.0,31303.0,281228.0,691.0,54478.0,82.0
0.579,,,,,224108.0,57883.0,23230.0,31374.0,281209.0,710.0,54477.0,83.0
0.578,,,,,223918.0,58073.0,23169.0,31435.0,281192.0,727.0,54473.0,87.0
0.577,,,,,223729.0,58262.0,23108.0,31496.0,281180.0,739.0,54472.0,88.0
0.576,,,,,223528.0,58463.0,23023.0,31581.0,281162.0,757.0,54467.0,93.0
0.575,,,,,223329.0,58662.0,22958.0,31646.0,281147.0,772.0,54461.0,99.0
0.574,,,,,223119.0,58872.0,22891.0,31713.0,281125.0,794.0,54458.0,102.0
0.573,,,,,222919.0,59072.0,22823.0,31781.0,281099.0,820.0,54454.0,106.0
0.572,,,,,222710.0,59281.0,22756.0,31848.0,281082.0,837.0,54452.0,108.0
0.571,,,,,222523.0,59468.0,22694.0,31910.0,281059.0,860.0,54448.0,112.0
0.57,,,,,222317.0,59674.0,22620.0,31984.0,281042.0,877.0,54440.0,120.0
0.569,,,,,222116.0,59875.0,22526.0,32078.0,281025.0,894.0,54437.0,123.0
0.568,,,,,221933.0,60058.0,22461.0,32143.0,281004.0,915.0,54434.0,126.0
0.567,,,,,221731.0,60260.0,22396.0,32208.0,280983.0,936.0,54428.0,132.0
0.566,,,,,221528.0,60463.0,22338.0,32266.0,280960.0,959.0,54423.0,137.0
