predictor,D009_GlobPlot,D009_GlobPlot,D025_RawMSA,D025_RawMSA,D033_DynaMine,D033_DynaMine
auc,0.624,0.624,0.78,0.78,0.707,0.707
metric,fpr,tpr,fpr,tpr,fpr,tpr
0.655,,,0.144,0.456,0.0,0.0
0.654,,,0.145,0.458,0.0,0.0
0.653,,,0.146,0.46,0.0,0.0
0.652,,,0.147,0.461,0.0,0.0
0.651,,,0.147,0.462,,
0.65,,,0.148,0.464,0.0,0.0
0.649,,,0.149,0.466,0.0,0.0
0.648,,,0.15,0.467,0.0,0.0
0.647,,,0.151,0.469,0.0,0.0
0.646,,,0.152,0.47,0.0,0.0
0.645,,,0.153,0.472,0.0,0.0
0.644,,,0.153,0.474,0.0,0.0
0.643,,,0.154,0.476,0.0,0.0
0.642,,,0.155,0.477,0.001,0.0
0.641,,,0.156,0.479,0.001,0.0
0.64,,,0.157,0.48,0.001,0.0
0.639,,,0.158,0.482,0.001,0.0
0.638,,,0.159,0.484,0.001,0.0
0.637,,,0.159,0.485,0.001,0.0
0.636,,,0.16,0.487,0.001,0.0
0.635,,,0.161,0.489,0.001,0.0
0.634,,,0.162,0.49,0.001,0.0
0.633,,,0.163,0.492,0.001,0.0
0.632,,,0.164,0.493,0.001,0.0
0.631,,,0.165,0.495,0.001,0.0
0.63,,,0.165,0.497,0.001,0.0
0.629,,,0.166,0.499,0.001,0.0
0.628,,,0.167,0.5,0.001,0.0
0.627,,,0.168,0.502,0.001,0.0
0.626,,,0.169,0.504,0.001,0.0
0.625,,,0.17,0.505,0.001,0.0
0.624,,,0.17,0.506,0.001,0.0
0.623,,,0.171,0.508,0.001,0.0
0.622,,,0.172,0.51,0.001,0.0
0.621,,,0.173,0.511,0.001,0.0
0.62,,,0.174,0.512,0.001,0.0
0.619,,,0.174,0.513,0.001,0.0
0.618,,,0.175,0.515,0.001,0.0
0.617,,,0.176,0.516,0.001,0.0
0.616,,,0.177,0.518,0.001,0.0
0.615,,,0.178,0.52,0.001,0.0
0.614,,,0.179,0.521,0.001,0.001
0.613,,,0.18,0.523,0.001,0.001
0.612,,,0.18,0.524,0.001,0.001
0.611,,,0.181,0.526,0.001,0.001
0.61,,,0.182,0.528,0.001,0.001
